feature,coefficient,abs_coefficient
P1_NUM_DEVS_IN_HAND,-0.6845180499179823,0.6845180499179823
P0_HAS_ARMY,0.645842285939594,0.645842285939594
P1_PUBLIC_VPS,-0.572066425839457,0.572066425839457
P0_ACTUAL_VPS,0.5335301105992668,0.5335301105992668
P0_VICTORY_POINT_IN_HAND,0.45418574741753315,0.45418574741753315
P0_ROADS_LEFT,0.44728986561634754,0.44728986561634754
P0_PUBLIC_VPS,0.44309163357092674,0.44309163357092674
P1_KNIGHT_PLAYED,-0.4275346537951825,0.4275346537951825
P1_SETTLEMENTS_LEFT,0.39420438157924065,0.39420438157924065
P0_ROAD_BUILDING_IN_HAND,-0.37447911725129945,0.37447911725129945
P0_SETTLEMENTS_LEFT,-0.36115725328072734,0.36115725328072734
P1_HAS_ROAD,-0.3449406997628659,0.3449406997628659
P1_ROADS_LEFT,-0.33122272003027947,0.33122272003027947
P1_ROAD_BUILDING_PLAYED,-0.3257498857149333,0.3257498857149333
P0_HAS_ROAD,0.3255596191957252,0.3255596191957252
P0_HAS_ORE_PORT,-0.3054081593141825,0.3054081593141825
P1_CITIES_LEFT,0.2912765534697224,0.2912765534697224
P0_BRICK_PORT_DISTANCE,-0.27498931779471714,0.27498931779471714
TOTAL_P0_ORE_PRODUCTION,0.2720355372192208,0.2720355372192208
P0_NUM_DEVS_IN_HAND,0.25929361187315536,0.25929361187315536
P1_3:1_PORT_DISTANCE,0.2585220703628722,0.2585220703628722
P0_LONGEST_ROAD_LENGTH,0.2579167707733867,0.2579167707733867
P0_3:1_PORT_DISTANCE,-0.25603736324933246,0.25603736324933246
P1_LONGEST_ROAD_LENGTH,-0.25095838433379797,0.25095838433379797
BANK_DEV_CARDS,0.2333299865613599,0.2333299865613599
TOTAL_P1_WOOD_PRODUCTION,-0.2314706327162015,0.2314706327162015
P1_HAS_WHEAT_PORT,-0.22729398242552692,0.22729398242552692
P0_ORE_PORT_DISTANCE,-0.18902140605149903,0.18902140605149903
P0_YEAR_OF_PLENTY_PLAYED,0.1815808152059638,0.1815808152059638
P0_HAS_SHEEP_PORT,0.16146921413190346,0.16146921413190346
P1_HAS_WOOD_PORT,-0.15166401020951345,0.15166401020951345
P1_ORE_PORT_DISTANCE,0.1483684152567056,0.1483684152567056
P0_HAS_3:1_PORT,-0.1291745186947185,0.1291745186947185
TOTAL_P0_WHEAT_PRODUCTION,0.11883637067144309,0.11883637067144309
TOTAL_P0_BRICK_PRODUCTION,0.11865253170504982,0.11865253170504982
P1_HAS_3:1_PORT,0.11405194651421727,0.11405194651421727
P1_WOOD_PORT_DISTANCE,0.1136875107886481,0.1136875107886481
TOTAL_P0_WOOD_PRODUCTION,0.10180749020533077,0.10180749020533077
P1_YEAR_OF_PLENTY_PLAYED,0.09948904641340818,0.09948904641340818
P1_SHEEP_PORT_DISTANCE,0.09872506957713331,0.09872506957713331
P0_MONOPOLY_PLAYED,-0.0986053666858635,0.0986053666858635
P0_ROAD_BUILDING_PLAYED,-0.09471109097778797,0.09471109097778797
EFFECTIVE_P1_SHEEP_PRODUCTION,-0.09349068244929476,0.09349068244929476
P0_SHEEP_PORT_DISTANCE,-0.08883024037678384,0.08883024037678384
P0_HAS_BRICK_PORT,-0.08685360872698546,0.08685360872698546
EFFECTIVE_P0_SHEEP_PRODUCTION,0.08337185805410871,0.08337185805410871
P1_BRICK_PORT_DISTANCE,0.08230892164319449,0.08230892164319449
TOTAL_P1_SHEEP_PRODUCTION,0.07842088079296747,0.07842088079296747
P0_ORE_IN_HAND,0.07272446877599652,0.07272446877599652
EFFECTIVE_P0_WHEAT_PRODUCTION,0.07067004257487469,0.07067004257487469
EFFECTIVE_P1_ORE_PRODUCTION,-0.06694061810441454,0.06694061810441454
P1_HAS_ARMY,-0.06555276427987437,0.06555276427987437
BANK_WHEAT,0.06313380306772154,0.06313380306772154
P0_SHEEP_IN_HAND,-0.0630248756952368,0.0630248756952368
P0_WOOD_IN_HAND,-0.05709772824135105,0.05709772824135105
TOTAL_P1_BRICK_PRODUCTION,0.05501882252010105,0.05501882252010105
BANK_ORE,0.0549364491360516,0.0549364491360516
EFFECTIVE_P0_ORE_PRODUCTION,0.05335730420242586,0.05335730420242586
P0_BRICK_IN_HAND,-0.05010275852998944,0.05010275852998944
P0_CITIES_LEFT,0.04911968483699035,0.04911968483699035
P0_KNIGHT_PLAYED,0.04834986810678755,0.04834986810678755
EFFECTIVE_P1_BRICK_PRODUCTION,0.04533257632578188,0.04533257632578188
P0_HAS_WHEAT_PORT,-0.04516776531859454,0.04516776531859454
TOTAL_P1_WHEAT_PRODUCTION,0.04460697289826358,0.04460697289826358
EFFECTIVE_P1_WHEAT_PRODUCTION,-0.04453056458753974,0.04453056458753974
P0_HAS_PLAYED_DEVELOPMENT_CARD_IN_TURN,0.04312699768392079,0.04312699768392079
P0_KNIGHT_IN_HAND,0.03940475219399384,0.03940475219399384
P0_HAS_WOOD_PORT,0.03787356815064863,0.03787356815064863
EFFECTIVE_P1_WOOD_PRODUCTION,-0.034992965202648454,0.034992965202648454
P0_NUM_RESOURCES_IN_HAND,-0.03457876123138583,0.03457876123138583
BANK_WOOD,-0.03452189978986202,0.03452189978986202
TOTAL_P0_SHEEP_PRODUCTION,-0.03002301527126383,0.03002301527126383
P0_WHEAT_IN_HAND,0.0242870409140891,0.0242870409140891
BANK_SHEEP,-0.02338010355788912,0.02338010355788912
P1_WHEAT_PORT_DISTANCE,0.018974518180732806,0.018974518180732806
P1_MONOPOLY_PLAYED,0.015686439070187526,0.015686439070187526
P1_HAS_BRICK_PORT,-0.015639198176257967,0.015639198176257967
P0_HAS_ROLLED,0.013009762582130631,0.013009762582130631
P1_HAS_ORE_PORT,0.011946748564825332,0.011946748564825332
BANK_BRICK,-0.010936022276514273,0.010936022276514273
P1_HAS_SHEEP_PORT,0.009548820304146314,0.009548820304146314
EFFECTIVE_P0_WOOD_PRODUCTION,0.006979397312035593,0.006979397312035593
IS_MOVING_ROBBER,-0.006174634278198324,0.006174634278198324
P1_NUM_RESOURCES_IN_HAND,0.005277959586734887,0.005277959586734887
P0_YEAR_OF_PLENTY_IN_HAND,0.0050088411878954206,0.0050088411878954206
IS_DISCARDING,-0.00420920070614778,0.00420920070614778
P0_WHEAT_PORT_DISTANCE,-0.0028021577927934936,0.0028021577927934936
P1_HAS_ROLLED,0.0024859311295889696,0.0024859311295889696
P0_WOOD_PORT_DISTANCE,0.0023193354326038603,0.0023193354326038603
EFFECTIVE_P0_BRICK_PRODUCTION,-0.0013237344692907538,0.0013237344692907538
P0_MONOPOLY_IN_HAND,0.0011062049089635528,0.0011062049089635528
TOTAL_P1_ORE_PRODUCTION,-0.00042485735024714455,0.00042485735024714455
